Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22p,
"C3, C4, C5, C6",0805,4,0.1u,
C7,0805,1,4.7u,
C8,0805,1,1u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,63,Diode,
J1,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0_16P,
J2,TerminalBlock_MetzConnect_Type059_RT06306HBWC_1x06_P3.50mm_Horizontal,1,Conn_01x06_Pin,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED6, LED60, LED61, LED62, LED63, LED7, LED8, LED9",WS2812B,63,WS2812B,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,330 Ohm,
"R2, R3",0805,2,5.1k,
R4,0805,1,10k,
"R5, R6",0805,2,22,
SW1,SW_SPST_TL3342,1,SW_PUSH,
"S_1, S_2, S_3, S_4, S_5, S_6, S_7, S_8, S_9, S_A1, S_Apost1, S_B1, S_C1, S_Ctrl2, S_D1, S_Down1, S_E1, S_F1, S_Fn1, S_G1, S_H1, S_I1, S_J1, S_K1, S_L1, S_LArrow1, S_Left1, S_Left_Brack1, S_M1, S_Minus1, S_N1, S_O1, S_P1, S_Plus1, S_Q1, S_Quest1, S_R1, S_RArrow1, S_RIght1, S_Right_Brack1, S_S1, S_Semi_Colon1, S_T1, S_U1, S_UP1, S_V1, S_W1, S_X1, S_Y1, S_Z1, S_Zero1, S_~1",MX-Hotswap-1U,52,Keyswitch,
"S_Alt1, S_Ctrl1, S_Win1",MX-Hotswap-1.25U,3,Keyswitch,
S_BackSpace1,MX-Hotswap-2U-ReversedStabilizers,1,Keyswitch,
S_Caps1,MX-Hotswap-1.75U,1,Keyswitch,
S_Enter1,MX-Hotswap-2.25U,1,Keyswitch,
"S_Shift1, S_Shift2",MX-Hotswap-2U,2,Keyswitch,
S_Space1,MX-Hotswap-6.25U,1,Keyswitch,
"S_Tab1, S_Vert_Bar1",MX-Hotswap-1.5U,2,Keyswitch,
U1,ATmega32U4,1,ATMEGA32U4,
X1,FA-238,1,XTAL_GND,
